# Domain: isosceles_triangle (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 35, dofs = 595
# Computation time: 0.0139 s
n,lambda_n
1,4.98922193205
2,9.94807864782
3,12.938569497
4,16.8375613364
5,19.8280521855
6,24.7869089013
7,25.6052368745
8,28.5957277236
9,33.5545844394
10,36.1843779572
11,39.1748688063
12,40.4440671279
13,44.1337255221
14,48.494470933
15,51.0232082107
16,51.4849617822
17,56.443818498
18,59.7908837488
19,62.4418285614
20,63.3333011865
21,65.4323194106
22,70.3911761263
23,72.1009767246
24,77.2806588149
25,77.9203030291
26,80.9107938783
27,82.6801178073
28,85.8696505941
29,86.048334353
30,92.7591332826
31,94.8120937994
32,96.6274754357
33,97.8025846485
34,101.526808821
35,102.761441364
36,108.937568412
37,109.650924053
38,112.105949903
39,112.988644145
40,115.979134994
41,118.418599591
42,120.93799171
43,124.416042879
44,127.827474398
45,128.997740674
46,132.311619542
47,135.302110391
48,136.595149936
49,138.363400508
50,140.260967107
51,141.307833649
52,147.150449795
53,147.174291019
54,152.633960481
55,155.255191278
56,155.62445133
57,155.918125333
58,159.484383995
59,160.583308045
60,166.497266416
61,167.472790734
62,170.733665746
63,173.431741623
64,173.801001675
65,176.240466272
66,176.791492524
67,178.807359392
68,181.75034924
69,186.819607355
70,188.639831929
71,188.910216091
72,192.75471702
73,195.651649161
74,197.407507467
75,198.64214001
76,199.129700331
77,203.600996726
78,205.802006861
79,207.986648549
80,208.233191488
81,210.490479415
82,213.077057959
83,218.019606317
84,219.258154953
85,220.296741525
86,221.010097166
87,225.124982258
88,225.968953882
89,228.555532427
90,229.837296035
91,232.858436571
92,234.244099154
93,240.734639484
94,241.626112109
95,242.147389011
96,243.301532604
97,243.725130333
98,245.447323197
99,248.683987049
100,249.722573621
101,252.205253192
102,255.573469737
103,256.09474664
104,263.623873542
105,263.623873542
106,264.341145275
107,264.515346167
108,266.614364392
109,266.614364392
110,271.573221107
111,271.573221107
112,274.920286358
113,278.462703796
114,278.462703796
115,282.94684894
116,284.790914737
117,286.513107601
118,287.230379334
119,287.230379334
120,288.465011878
121,289.50359845
122,293.941178264
123,294.462455166
124,297.809520417
125,301.177736962
126,301.351937854
127,304.113890134
128,306.641562223
129,309.228140767
130,310.119613393
131,310.119613393
132,310.832969034
133,312.218631617
134,316.65621143
135,317.177488332
136,320.698754475
137,324.066971021
138,324.066971021
139,324.436231073
140,325.96453762
141,329.009519379
142,331.596097924
143,332.834646559
144,333.008847451
145,333.5480022
146,334.586588773
147,339.545445489
148,339.545445489
149,343.413787642
150,346.286878559
151,346.434928177
152,346.956205079
153,348.332494776
154,351.724552546
155,353.44674541
156,355.202603715
157,355.723880618
158,356.437236259
159,356.437236259
160,361.396092975
161,362.434679547
162,365.781744798
163,367.453919753
164,368.285575663
165,368.654835715
166,369.671238246
167,371.047527943
168,374.613786604
169,374.613786604
170,377.053251201
171,377.604277453
172,378.091837774
173,379.326470317
174,382.563134169
175,385.149712714
176,387.632392284
177,389.452616858
178,389.82187691
179,391.369868881
180,392.039195402
181,393.936762001
182,394.936127543
183,397.503020663
184,397.926618392
185,398.220292396
186,399.94248526
187,402.041503484
188,402.885475108
189,407.51766987
190,408.799433479
191,409.774957796
192,411.672524396
193,412.536910076
194,413.889842888
195,414.25910294
