# Domain: isosceles_triangle (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.06, dofs = 6075
# Computation time: 21.7892 s
n,lambda_n
1,5.00000128658
2,10.0000101823
3,13.0000224423
4,17.0000494832
5,20.000081109
6,25.0001592191
7,26.0001782831
8,29.0002454134
9,34.000395473
10,37.0005085329
11,40.0006421152
12,41.000700456
13,45.0009104131
14,50.0012584459
15,52.0014079404
16,53.0014871981
17,58.0019431549
18,61.0023035804
19,65.0027373613
20,65.0027523012
21,68.0031511736
22,73.0038705483
23,74.004044151
24,80.0050870135
25,82.0054999181
26,85.0060945611
27,85.0062202135
28,89.0070103374
29,90.0072365801
30,97.0090156355
31,100.009895695
32,101.010236469
33,104.011193892
34,106.011740228
35,109.012818903
36,113.01451354
37,116.015400189
38,117.015821052
39,122.018073919
40,125.019144073
41,125.019403155
42,130.021706211
43,130.021770388
44,136.024777984
45,137.025366556
46,145.03019558
47,145.030532687
48,146.030799827
49,148.032058339
50,149.03247854
51,153.035292995
52,157.03792479
53,160.040248222
54,164.043398684
55,169.047501133
56,170.047936553
57,170.04841364
58,173.050784925
59,178.055141447
60,180.057180588
61,181.05879814
62,185.061406356
63,185.062058414
64,193.069645824
65,194.071237723
66,197.074718205
67,200.07797773
68,202.08058143
69,205.083744179
70,205.083953836
71,208.08746808
72,212.092860875
73,218.101040954
74,221.104881794
75,221.106788179
76,225.110653007
77,226.112731828
78,229.117351296
79,232.121219587
80,233.122215969
81,234.124868771
82,241.13581438
83,244.140499179
84,245.142658064
85,250.150039936
86,250.15216252
87,257.164690791
88,260.16938952
89,260.170667742
90,261.171801182
91,265.179722968
92,265.182506609
93,269.187418998
94,272.194421181
95,274.19747141
96,277.203629637
97,281.213852501
98,289.23183146
99,290.234507139
100,290.235888539
101,292.238146586
102,293.242403813
103,296.247894211
104,298.254598799
105,305.270737811
106,305.271630949
107,306.274716493
108,313.298242088
109,314.296393098
110,317.304305964
111,320.311777943
112,325.323575876
113,325.329350412
114,325.330850185
115,328.338669812
116,333.353080427
117,337.365939579
118,338.365695364
119,340.373841665
120,340.376219638
121,346.392858861
122,349.406297851
123,353.417927728
124,356.430432244
125,360.442962811
126,362.453406779
127,365.463943801
128,365.469398136
129,369.475841303
130,370.478854342
131,370.481872152
132,373.488672458
133,377.504584715
134,377.508702626
135,386.545243877
136,388.549140539
137,389.556694751
138,394.578270536
139,397.590860319
140,400.601921242
141,401.611911098
142,404.625280462
143,405.625543907
144,409.646128015
145,410.646841917
146,410.650495993
147,416.67850355
148,421.713874154
149,424.713601521
150,425.71353917
151,425.72227804
152,425.723299399
153,433.755621659
154,436.776959749
155,442.806054813
156,442.817939594
157,445.825715874
158,445.830993078
159,449.844737991
160,450.856464265
161,452.869339721
162,457.894361624
163,458.896023006
164,461.914017705
165,464.92852568
166,466.949799388
167,468.959512189
168,478.011335177
169,482.030777436
170,482.058381052
171,483.039322109
172,486.066829733
173,486.071887555
174,489.091391442
175,491.08972461
176,494.111844323
177,494.123211419
178,501.156748619
179,501.167186159
180,506.191767128
181,506.200558749
182,510.231612183
183,515.262347214
184,521.296573579
185,521.309856255
186,522.31318295
187,523.315639886
188,531.383278259
189,531.38748852
190,534.393564076
191,534.405673048
192,539.444864781
193,542.459884189
194,545.485088515
195,546.496940007
196,546.524963697
197,549.51189068
198,550.528796453
199,555.575976501
200,558.591277565
201,563.629018634
202,566.650656753
203,566.670674111
204,570.699180802
205,578.777438118
206,579.767308402
207,581.796088256
208,581.803383251
209,585.825026767
210,586.839080463
211,586.843154887
212,587.839015116
213,593.902512231
214,594.905684691
215,597.94336862
216,602.989562309
217,607.027729117
218,612.068104841
219,612.072126212
220,614.097481967
221,615.142061362
222,619.140090502
223,627.211850986
224,627.228228448
225,628.259191058
226,630.254413275
227,631.260005156
228,631.295343142
229,636.342481639
230,639.355707409
231,642.380661896
232,643.407996143
233,652.493812493
234,652.508129106
235,652.510836569
236,655.530229369
237,658.568119762
238,659.574309489
239,663.628925974
240,668.691586552
241,675.756691272
242,676.774469714
243,678.791047484
244,679.833255875
245,682.8459852
246,682.866835541
247,687.922372649
248,687.967210052
249,691.950045742
250,691.970194008
251,695.005210882
252,700.033436933
253,700.067817619
254,701.065962311
255,704.13025742
256,709.17549607
257,712.232365124
258,715.262619099
259,723.360753851
260,727.431274712
261,728.412484945
262,728.424197175
263,728.453567208
264,733.488415352
265,733.528964494
266,736.561967026
267,741.625165536
268,743.631985467
269,743.654379766
270,748.708300371
271,748.721706517
272,749.740794523
273,757.836961953
274,757.870904344
275,760.897103336
276,765.016499195
277,768.996216677
278,769.043177898
279,773.087281719
280,776.112357037
281,777.108728686
282,780.180893785
283,782.211251922
284,789.330377527
285,789.355140159
286,792.399673643
287,797.434642295
288,797.476110847
289,798.473556238
290,801.507200661
291,804.594664442
292,805.575717225
293,806.620864052
294,812.704174048
295,813.74950826
296,814.739135127
297,822.906299021
298,824.899110518
299,824.928032494
300,825.910675892
301,834.068952278
302,837.108697464
303,838.126637484
304,846.363534416
305,847.337672582
306,850.330179976
307,850.381877447
308,850.399056596
309,853.408870716
310,855.406956085
311,855.426859856
312,855.513631908
313,858.489676311
314,862.592235153
315,870.722281891
316,870.760630381
317,871.791969997
318,877.881124066
319,878.847305936
320,882.983519833
321,887.053366735
322,890.095902104
323,890.102237547
324,896.167045488
325,896.211000251
326,904.374028597
327,906.428264453
328,907.435488
329,907.476886585
330,910.535203788
331,911.500843886
332,911.51775882
333,915.618918795
334,920.680584284
335,922.771155357
336,928.90845394
337,931.926910658
338,931.992166904
339,932.05975297
340,935.024172918
341,936.035294505
342,939.063529857
343,943.201807256
344,944.17645805
345,948.281190374
346,956.451414963
347,956.498051167
348,960.551056817
349,961.589579089
350,969.766884936
351,969.855322902
352,971.811055712
353,972.839505853
354,972.892405459
355,977.964346849
356,978.019033084
357,984.103872645
358,985.155065839
359,988.179615554
360,989.236562888
361,993.29795415
362,993.365817956
363,994.375426845
364,994.401934223
365,1005.64712329
366,1008.62382123
367,1008.70988505
368,1017.91081789
369,1018.9181484
