# Domain: rectangle (Cheb, paper eigenvalues-head run, dense eig full spectrum)
# Resolution N = 30, dofs = 784
# Computation time: 0.1133 s
n,lambda_n
1,1.25
2,2
3,3.25
4,4.25
5,5
6,5
7,6.25
8,7.25
9,8
10,9.25
11,10
12,10
13,10.25
14,11.25
15,13
16,13
17,13.25
18,15.25
19,16.25
20,16.25
21,17
22,17.0000000001
23,18
24,18.25
25,20
26,20.0000000001
27,21.2499999927
28,21.25
29,22.25
30,24.2499999927
31,25
32,25.0000000001
33,25.25
34,25.9999999203
35,26
36,27.25
37,28.25
38,28.9999999203
39,29
40,29.2499999927
41,31.25
42,31.2500014258
43,32.0000000001
44,33.9999999203
45,34
46,34.2500014258
47,36.2499999927
48,36.25
49,37
50,37.0000079378
51,37.25
52,38.25
53,39.2500014258
54,40
55,40.0000079378
56,40.9999999203
57,41.0000000001
58,42.25
59,43.2499972064
60,45
61,45.0000079378
62,45.2499999927
63,46.2499972064
64,46.2500014258
65,48.25
66,49.25
67,49.9980953586
68,49.9999999203
69,50
70,51.2499972064
71,51.25
72,52.0000000001
73,52.0000079378
74,52.9980953586
75,53
76,55.25
77,55.2500014258
78,56.2499999927
79,57.2685212015
80,57.9980953586
81,58
82,58.2499972064
83,60.2685212015
84,60.9999999203
85,61.0000079378
86,61.25
87,64.2500000006
88,64.8440235036
89,64.9980953586
90,65.0000000002
91,65.0000000006
92,65.2685212015
93,66.2500000006
94,66.2500014258
95,67.2499972064
96,67.8440235036
97,68.0000000006
98,69.2499999927
99,70.2500000006
100,72.0000079378
101,72.2685212015
102,72.8440235036
103,73.0000000006
104,73.9611934398
105,73.9980953586
106,73.9999999203
107,76.2500000006
108,76.9611934398
109,78.2499972064
110,79.2500014258
111,79.7351355695
112,79.8440235036
113,80.0000000007
114,81.2499999708
115,81.2685212015
116,81.9611934398
117,81.9999999708
118,82.7351355695
119,83.2499999708
120,84.2499999933
121,84.9980953586
122,84.9999999708
123,85.0000079378
124,87.2499999708
125,87.7351355695
126,88.8440235036
127,88.9611934398
