# Domain: rectangle (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 49, dofs = 1176
# Computation time: 0.3212 s
n,lambda_n
1,1.25
2,2
3,3.25
4,4.25
5,5
6,5
7,6.25
8,7.25
9,8
10,9.25
11,10
12,10
13,10.25
14,11.25
15,13
16,13
17,13.25
18,15.25
19,16.25
20,16.25
21,17
22,17
23,18
24,18.25
25,20
26,20
27,21.25
28,21.25
29,22.25
30,24.25
31,25
32,25
33,25.25
34,26
35,26
36,27.25
37,28.25
38,29
39,29
40,29.25
41,31.25
42,31.25
43,32
44,34
45,34
46,34.25
47,36.25
48,36.25
49,37
50,37
51,37.25
52,38.25
53,39.25
54,40
55,40
56,41
57,41
58,42.25
59,43.25
60,45
61,45
62,45.25
63,46.25
64,46.25
65,48.25
66,49.25
67,50
68,50
69,50
70,51.25
71,51.25
72,52
73,52
74,53
75,53
76,55.25
77,55.25
78,56.25
79,57.25
80,58
81,58
82,58.25
83,60.25
84,61
85,61
86,61.25
87,64.25
88,65
89,65
90,65
91,65
92,65.25
93,66.25
94,66.25
95,67.25
96,68
97,68
98,69.25
99,70.25
100,72
101,72.25
102,73
103,73
104,73.25
105,74
106,74
107,76.25
108,76.25
109,78.25
110,79.25
111,80
112,80
113,81.25
114,81.25
115,81.25
116,82
117,82
118,83.25
119,84.25
120,85
121,85
122,85
123,85
124,87.25
125,88.25
126,89
127,89
128,90
129,90
130,91.25
131,91.25
132,92.25
133,93.25
134,94.25
135,94.25
136,97
137,97
138,97.25
139,98
140,99.25
141,100
142,100
143,100.25
144,101
145,101
146,101.25
147,102.25
148,104
149,104
150,105.25
151,106
152,106
153,106.25
154,106.25
155,106.25
156,108.25
157,109
158,109
159,111.25
160,111.25
161,112.25
162,113
163,113
164,114.25
165,115.25
166,116
167,116
168,117
169,117
170,119.25
171,120.25
172,120.25
173,121.25
174,121.25
175,122
176,122
177,123.25
178,123.25
179,125
180,125
181,125
182,125
183,126.25
184,126.25
185,127.25
186,128
187,130
188,130
189,130
190,130
191,130.25
