# Domain: rectangle (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 15, dofs = 105
# Computation time: 0.0131 s
n,lambda_n
1,1.23641267178
2,1.97442966153
3,3.172904221
4,4.04776265522
5,4.78577964497
6,4.78577964497
7,5.98425420444
8,6.75107403542
9,7.59712962841
10,8.2552452413
11,8.99326223106
12,8.99326223106
13,9.56242401886
14,10.1917367905
15,11.426178197
16,11.8046122145
17,11.8046122145
18,13.2183093472
19,13.7699066049
20,13.956326337
21,13.956326337
22,14.2375281804
23,15.1548008965
24,16.0120948006
25,16.486474477
26,16.7676763204
27,16.7676763204
28,18.1813734532
29,18.4450107665
30,18.7329707109
31,18.9193904429
32,18.9193904429
33,19.2978244604
34,20.1178650024
35,20.9751589065
36,20.9751589065
37,21.1615786386
38,21.7307404264
39,21.7307404264
40,22.3888560392
41,23.126873029
42,23.126873029
43,23.4080748724
44,23.5053070465
45,23.6960348168
46,23.972928622
47,24.3253475885
48,24.739748453
49,25.2002060227
50,25.9382230124
51,25.9382230124
52,25.9382230124
53,25.9382230124
54,25.9382230124
55,25.9382230124
56,25.9382230124
57,26.6762400022
58,27.1366975719
59,27.5510984364
60,27.9035174029
61,28.1804112081
62,28.3711389784
63,28.4683711524
64,28.7495729959
65,28.7495729959
66,29.4875899856
67,30.1457055985
68,30.1457055985
69,30.7148673863
70,30.9012871184
71,30.9012871184
72,31.7585810225
73,32.5786215644
74,32.957055582
75,32.957055582
76,33.143475314
77,33.4314352584
78,33.6950725717
79,35.1087697045
80,35.1087697045
81,35.3899715479
82,35.8643512243
83,36.7216451284
84,37.6389178445
85,37.9201196879
86,37.9201196879
87,38.1065394199
88,38.6581366776
89,40.0718338104
90,40.0718338104
91,40.4502678279
92,41.6847092343
93,42.314022006
94,42.8831837938
95,42.8831837938
96,43.6212007836
97,44.2793163965
98,45.1253719895
99,45.8921918204
100,47.0906663799
101,47.0906663799
102,47.8286833697
103,48.7035418039
104,49.9020163633
105,50.6400333531
