# Domain: rectangle (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.25, dofs = 1333
# Computation time: 0.3634 s
n,lambda_n
1,1.25000606788
2,2.00002606665
3,3.25011411734
4,4.25026954112
5,5.0004020476
6,5.00040451037
7,6.25076931172
8,7.25120260984
9,8.00163488253
10,9.25266893971
11,10.0030931686
12,10.0032117623
13,10.2534600761
14,11.2544141783
15,13.0067933112
16,13.0070217408
17,13.257042973
18,15.2610753524
19,16.2636088847
20,16.2645790456
21,17.0145460274
22,17.0160453455
23,18.0182623525
24,18.2689299676
25,20.0241803012
26,20.0251854198
27,21.2777234704
28,21.2799761343
29,22.2833553057
30,24.2939211627
31,25.0475865957
32,25.0484121791
33,25.3020342671
34,26.0501186624
35,26.0553800122
36,27.3124166669
37,28.3183954871
38,29.0735494828
39,29.0738903411
40,29.326950813
41,31.3356735962
42,31.3410677905
43,32.0983415658
44,34.1154013975
45,34.1189439824
46,34.3691134741
47,36.3916851782
48,36.4039921409
49,37.1394928193
50,37.1581657807
51,37.401369919
52,38.4188156364
53,39.4277780039
54,40.1852960275
55,40.1892517022
56,41.1998127363
57,41.20409965
58,42.4697771824
59,43.4672843927
60,45.2619018994
61,45.2627789856
62,45.5158960113
63,46.5276639142
64,46.5405238822
65,48.5708530125
66,49.6223181173
67,50.3292770066
68,50.3557328828
69,50.3794175772
70,51.6297942551
71,51.6446424766
72,52.3948400956
73,52.4124928443
74,53.4071395439
75,53.4262483403
76,55.7182787939
77,55.7364190306
78,56.7474959927
79,57.7395448074
80,58.531519906
81,58.5503059157
82,58.8191246453
83,60.8444925787
84,61.630105662
85,61.6420203429
86,61.8849316123
87,65.0258991758
88,65.7072347286
89,65.7568678269
90,65.7710837008
91,65.7925217221
92,66.0002069322
93,67.0510954273
94,67.0739571271
95,68.1032886611
96,68.8529856463
97,68.8637219806
98,70.1567902749
99,71.1901431095
100,73.0340938047
101,73.2743560249
102,74.0228760859
103,74.0480047042
104,74.2420386482
105,75.0784164455
106,75.139176606
107,77.4254203674
108,77.4392100471
109,79.5690193036
110,80.5778170734
111,81.3215550436
112,81.3820671371
113,82.6188987621
114,82.7135412097
115,82.8110310638
116,83.3626263808
117,83.5604013561
118,84.8447181331
119,85.8222847292
120,86.5821913438
121,86.6360389734
122,86.677749357
123,86.688470527
124,89.0300686144
125,90.038879932
126,90.8618783803
127,90.8762223386
128,91.8067620031
129,91.9218286305
130,93.0871981012
131,93.3159897755
132,94.3702277693
133,95.3644579746
134,96.3292135686
135,96.4690855577
136,99.3262985855
137,99.374845581
138,99.6551138381
139,100.566156947
140,101.65838672
141,102.505571685
142,102.778055911
143,102.925457628
144,103.418969237
145,103.628252312
146,103.954927698
147,104.90276231
148,106.705811048
149,106.791559699
150,108.349318022
151,108.960257766
152,109.115929034
153,109.181660459
154,109.246792696
155,109.474342546
156,111.566604524
157,112.200847572
158,112.342043133
159,114.385794065
160,114.718024918
161,115.922330092
162,116.642798956
163,116.687037556
164,117.807321349
165,119.092534233
166,119.793290816
167,120.022462492
168,120.952729227
169,121.0766648
170,123.383935475
171,124.484761363
172,124.70514589
173,125.618267999
174,126.104343076
175,126.12666721
176,126.884291104
177,127.76839412
178,128.233985076
179,129.629710741
180,129.674799656
181,129.824426179
182,130.059029146
183,131.199735221
184,131.220201845
185,132.531146394
186,133.324605234
187,135.029156739
188,135.180157795
189,135.532565078
190,135.560392832
191,135.678157861
192,138.706040983
193,139.267942093
194,140.891920561
195,141.690976642
196,142.303596106
